label,precision,recall,f1,support,predicted_positive,model,method,aggregation,threshold
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Eckhart_Tolle,1.0,0.9642857142857143,0.9818181818181818,84,81,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Eric_Thomas,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Nick_Vujicic,1.0,0.9591836734693877,0.9791666666666666,49,47,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
other_speaker_present,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
audience_reaction_present,0.6666666666666666,0.06896551724137931,0.125,29,3,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
silence_present,0.0,0.0,0.0,12,0,main_v08_human_corrected_balanced_3exit_20260610_084027,mean_all_baseline,mean,0.5
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
Eckhart_Tolle,1.0,0.9642857142857143,0.9818181818181818,84,81,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
Eric_Thomas,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
Nick_Vujicic,1.0,0.9591836734693877,0.9791666666666666,49,47,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
other_speaker_present,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,mean,0.5
audience_reaction_present,0.41025641025641024,0.5517241379310345,0.47058823529411764,29,39,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,max,0.5
silence_present,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11,main_v08_human_corrected_balanced_3exit_20260610_084027,simple_event_max_v08,max,0.5
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
Eckhart_Tolle,1.0,1.0,1.0,84,84,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,top2mean,0.5
Eric_Thomas,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
Gary_Vee,0.9444444444444444,1.0,0.9714285714285714,68,72,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,top2mean,0.5
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
Nick_Vujicic,1.0,0.9591836734693877,0.9791666666666666,49,47,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
other_speaker_present,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,mean,0.5
audience_reaction_present,0.6818181818181818,0.5172413793103449,0.5882352941176471,29,22,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,top2mean,0.5
silence_present,0.4,0.16666666666666666,0.23529411764705882,12,5,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_map,top2mean,0.5
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,mean,0.5
Eckhart_Tolle,1.0,0.9642857142857143,0.9818181818181818,84,81,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,mean,0.5
Eric_Thomas,0.44966442953020136,0.9852941176470589,0.6175115207373272,68,149,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,max,0.5
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,mean,0.5
Jay_Shetty,0.7142857142857143,1.0,0.8333333333333334,90,126,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,max,0.5
Nick_Vujicic,0.5212765957446809,1.0,0.6853146853146853,49,94,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,max,0.5
other_speaker_present,0.7285714285714285,0.9978260869565218,0.8422018348623853,460,630,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,max,0.5
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,mean,0.5
audience_reaction_present,0.6818181818181818,0.5172413793103449,0.5882352941176471,29,22,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,top2mean,0.5
silence_present,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_original_diagnostic_map,max,0.5
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,mean,0.5
Eckhart_Tolle,1.0,0.9642857142857143,0.9818181818181818,84,81,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,mean,0.5
Eric_Thomas,0.6568627450980392,0.9852941176470589,0.788235294117647,68,102,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,top2mean,0.5
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,mean,0.5
Jay_Shetty,0.8653846153846154,1.0,0.9278350515463918,90,104,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,top2mean,0.5
Nick_Vujicic,0.7424242424242424,1.0,0.8521739130434782,49,66,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,top2mean,0.5
other_speaker_present,0.7285714285714285,0.9978260869565218,0.8422018348623853,460,630,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,max,0.5
music_present,0.8271604938271605,0.9824046920821115,0.8981233243967829,341,405,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,top2mean,0.5
audience_reaction_present,0.6818181818181818,0.5172413793103449,0.5882352941176471,29,22,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,top2mean,0.5
silence_present,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11,main_v08_human_corrected_balanced_3exit_20260610_084027,tata_lawyer_improved_diagnostic_map,max,0.5
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
Eckhart_Tolle,1.0,1.0,1.0,84,84,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,top2mean,0.5
Eric_Thomas,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
Nick_Vujicic,1.0,0.9591836734693877,0.9791666666666666,49,47,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
other_speaker_present,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,mean,0.5
audience_reaction_present,0.6818181818181818,0.5172413793103449,0.5882352941176471,29,22,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,top2mean,0.5
silence_present,0.4,0.16666666666666666,0.23529411764705882,12,5,main_v08_human_corrected_balanced_3exit_20260610_084027,v09_frozen_frequency_plus_gary_mean,top2mean,0.5
